placement,local_bsz,step_time,sync_time,gpu_time,data_time,other_time
1114,6,0.26,0.0577,0.2512,0.0002,0.0086
1114,8,0.3003,0.0551,0.2922,0.0002,0.0078
1114,12,0.3801,0.0492,0.3707,0.0002,0.0091
1122,2,0.1968,0.0867,0.1926,0.0002,0.004
1122,3,0.2102,0.082,0.2052,0.0002,0.0047
1122,4,0.2228,0.0656,0.2181,0.0002,0.0045
1122,6,0.2553,0.0525,0.2484,0.0002,0.0067
1122,8,0.2895,0.047,0.2845,0.0002,0.0047
1122,12,0.3827,0.0441,0.37,0.0002,0.0125
1123,2,0.1981,0.0897,0.1935,0.0002,0.0044
1123,3,0.2124,0.0839,0.2059,0.0002,0.0063
1123,4,0.2234,0.0661,0.2174,0.0002,0.0058
1123,6,0.2587,0.0579,0.2526,0.0002,0.0059
1123,8,0.2961,0.053,0.2901,0.0002,0.0058
1123,12,0.3766,0.0467,0.368,0.0002,0.0084
1124,2,0.203,0.0861,0.1975,0.0002,0.0053
1124,3,0.2129,0.0816,0.2078,0.0002,0.0049
1124,4,0.2279,0.0623,0.2208,0.0002,0.0069
1124,6,0.2602,0.0524,0.252,0.0002,0.008
1124,8,0.2999,0.0507,0.2928,0.0002,0.007
1124,12,0.3811,0.047,0.3735,0.0002,0.0074
1133,2,0.2055,0.0947,0.1963,0.0002,0.0089
1133,3,0.2175,0.0906,0.2091,0.0002,0.0082
1133,4,0.225,0.0711,0.2192,0.0002,0.0057
1133,6,0.2589,0.0601,0.2511,0.0002,0.0076
1133,8,0.3007,0.0559,0.2905,0.0002,0.01
1133,12,0.3745,0.0495,0.3689,0.0002,0.0054
1134,2,0.2049,0.0914,0.1993,0.0002,0.0055
1134,3,0.2172,0.0854,0.2107,0.0002,0.0062
1134,4,0.2269,0.0675,0.2218,0.0002,0.0049
1134,6,0.259,0.0559,0.2532,0.0002,0.0056
1134,8,0.301,0.0531,0.294,0.0002,0.0068
1134,12,0.3813,0.0493,0.3725,0.0002,0.0086
1144,2,0.2056,0.0885,0.2,0.0002,0.0054
1144,3,0.219,0.0835,0.2122,0.0002,0.0066
1144,4,0.2341,0.0646,0.2237,0.0002,0.0102
1144,6,0.2675,0.0557,0.2577,0.0002,0.0096
1144,8,0.3043,0.0496,0.2948,0.0002,0.0094
1144,12,0.3837,0.0472,0.3742,0.0002,0.0093
1222,2,0.2053,0.0798,0.1949,0.0002,0.0102
1222,3,0.2149,0.0763,0.2081,0.0002,0.0065
1222,4,0.2224,0.0565,0.2183,0.0002,0.004
1222,6,0.2576,0.0479,0.2498,0.0002,0.0076
1222,8,0.2953,0.0441,0.289,0.0002,0.0061
1222,12,0.3759,0.0414,0.3692,0.0002,0.0065
1223,2,0.207,0.0857,0.1966,0.0002,0.0103
1223,3,0.2177,0.0818,0.2092,0.0002,0.0083
1223,4,0.2304,0.0628,0.2212,0.0002,0.0089
1223,6,0.256,0.0516,0.2506,0.0002,0.0053
1223,8,0.3025,0.0502,0.2921,0.0002,0.0103
1223,12,0.375,0.0443,0.369,0.0002,0.0058
1224,2,0.2045,0.0838,0.1987,0.0002,0.0056
1224,3,0.2197,0.0795,0.2109,0.0002,0.0085
1224,4,0.229,0.0598,0.2226,0.0002,0.0062
1224,6,0.2612,0.0501,0.2557,0.0002,0.0053
1224,8,0.2999,0.0468,0.2932,0.0002,0.0065
1224,12,0.3843,0.0446,0.3733,0.0002,0.0108
1233,2,0.212,0.0935,0.2007,0.0002,0.0111
1233,3,0.2164,0.0856,0.2097,0.0002,0.0065
1233,4,0.2318,0.0672,0.2217,0.0002,0.0099
1233,6,0.2617,0.0545,0.2525,0.0002,0.0089
1233,8,0.299,0.0521,0.2922,0.0002,0.0066
1233,12,0.3788,0.0482,0.3718,0.0002,0.0068
1234,2,0.2068,0.0887,0.2004,0.0002,0.0061
1234,3,0.218,0.0835,0.2115,0.0002,0.0063
1234,4,0.23,0.0633,0.2224,0.0002,0.0074
1234,6,0.262,0.0507,0.2529,0.0002,0.0089
1234,8,0.3012,0.0495,0.2925,0.0002,0.0085
1234,12,0.382,0.0469,0.3735,0.0002,0.0083
1244,2,0.2106,0.0896,0.2039,0.0002,0.0064
1244,3,0.2231,0.0831,0.2142,0.0002,0.0087
1244,4,0.236,0.0623,0.2258,0.0002,0.01
1244,6,0.2642,0.0523,0.2579,0.0002,0.0061
1244,8,0.3041,0.0479,0.2962,0.0002,0.0076
1244,12,0.3817,0.0453,0.3739,0.0002,0.0076
1333,2,0.2102,0.0982,0.2024,0.0002,0.0076
1333,3,0.2178,0.0891,0.2118,0.0002,0.0058
1333,4,0.2333,0.0716,0.224,0.0002,0.0091
1333,6,0.2596,0.0566,0.2516,0.0002,0.0078
1333,8,0.3034,0.0534,0.2925,0.0002,0.0107
1333,12,0.3793,0.0487,0.3711,0.0002,0.0079
1334,2,0.2107,0.0934,0.2028,0.0002,0.0076
1334,3,0.2201,0.0855,0.2117,0.0002,0.0082
1334,4,0.2344,0.0672,0.2237,0.0002,0.0105
1334,6,0.26,0.0538,0.254,0.0002,0.0058
1334,8,0.301,0.0522,0.2941,0.0002,0.0067
1334,12,0.3844,0.0488,0.3765,0.0003,0.0077
1344,2,0.2117,0.0881,0.2022,0.0002,0.0092
1344,3,0.2236,0.086,0.2143,0.0002,0.0091
1344,4,0.2356,0.0684,0.2291,0.0002,0.0063
1344,6,0.2658,0.0516,0.2563,0.0002,0.0093
1344,8,0.3041,0.0529,0.2977,0.0002,0.0062
1344,12,0.3859,0.0472,0.3756,0.0002,0.0101
1444,2,0.2108,0.0884,0.2042,0.0002,0.0063
1444,3,0.2251,0.0851,0.2165,0.0002,0.0084
1444,4,0.2457,0.0654,0.2293,0.0002,0.0162
1444,6,0.261,0.048,0.2546,0.0002,0.0061
1444,8,0.3061,0.049,0.2958,0.0002,0.0101
1444,12,0.3848,0.0463,0.3768,0.0002,0.0078
2222,2,0.2038,0.0791,0.1988,0.0002,0.0048
2222,3,0.2162,0.0745,0.2099,0.0002,0.0062
2222,4,0.2249,0.0534,0.2203,0.0002,0.0044
2222,6,0.2617,0.0453,0.2552,0.0002,0.0063
2222,8,0.3006,0.0451,0.2951,0.0002,0.0052
2222,12,0.3779,0.0409,0.3699,0.0002,0.0077
2223,2,0.2065,0.0851,0.1998,0.0002,0.0065
2223,3,0.2151,0.0796,0.2103,0.0002,0.0046
2223,4,0.2287,0.06,0.2229,0.0002,0.0056
2223,6,0.2615,0.0485,0.2529,0.0002,0.0084
2223,8,0.3021,0.0479,0.2943,0.0002,0.0076
2223,12,0.3797,0.044,0.3731,0.0002,0.0064
2224,2,0.207,0.0825,0.2017,0.0002,0.0051
2224,3,0.2206,0.077,0.2107,0.0002,0.0097
2224,4,0.2319,0.0574,0.225,0.0002,0.0066
2224,6,0.2614,0.0453,0.2539,0.0002,0.0073
2224,8,0.3008,0.0465,0.295,0.0002,0.0056
2224,12,0.3839,0.0439,0.3766,0.0003,0.007
2233,2,0.2056,0.09,0.2,0.0002,0.0054
2233,3,0.2155,0.0827,0.2099,0.0002,0.0054
2233,4,0.2296,0.0642,0.2237,0.0002,0.0056
2233,6,0.2626,0.0553,0.2555,0.0002,0.0069
2233,8,0.3024,0.0502,0.2933,0.0002,0.0089
2233,12,0.3812,0.0465,0.3732,0.0003,0.0077
2234,2,0.2114,0.0865,0.2027,0.0002,0.0085
2234,3,0.2208,0.0847,0.2152,0.0002,0.0054
2234,4,0.2289,0.0614,0.224,0.0002,0.0047
2234,6,0.2622,0.0487,0.2541,0.0002,0.0079
2234,8,0.3039,0.0484,0.2961,0.0002,0.0075
2234,12,0.386,0.0463,0.3766,0.0002,0.0091
2244,2,0.2086,0.0858,0.2032,0.0002,0.0053
2244,3,0.224,0.0834,0.2166,0.0002,0.0072
2244,4,0.2312,0.0591,0.2248,0.0002,0.0063
2244,6,0.2622,0.045,0.2539,0.0002,0.0081
2244,8,0.3038,0.0459,0.2961,0.0002,0.0075
2244,12,0.3828,0.0443,0.3756,0.0002,0.007
2333,2,0.2105,0.093,0.2033,0.0002,0.007
2333,3,0.2169,0.0859,0.2118,0.0002,0.0049
2333,4,0.235,0.0708,0.2267,0.0002,0.008
2333,6,0.2591,0.0538,0.2529,0.0002,0.0059
2333,8,0.3019,0.0531,0.2937,0.0002,0.0079
2333,12,0.3806,0.0476,0.3723,0.0002,0.0081
2334,2,0.2143,0.0893,0.2023,0.0002,0.0118
2334,3,0.2203,0.0842,0.213,0.0002,0.0071
2334,4,0.236,0.0667,0.2255,0.0002,0.0102
2334,6,0.2623,0.0512,0.2541,0.0002,0.0079
2334,8,0.3024,0.0512,0.2955,0.0002,0.0068
2334,12,0.3827,0.0484,0.3757,0.0002,0.0067
2344,2,0.2124,0.091,0.2065,0.0002,0.0058
2344,3,0.2248,0.0846,0.2158,0.0002,0.0088
2344,4,0.2339,0.0654,0.2273,0.0002,0.0064
2344,6,0.263,0.0486,0.2551,0.0002,0.0077
2344,8,0.3096,0.0495,0.2979,0.0002,0.0115
2344,12,0.384,0.047,0.3787,0.0002,0.0051
2444,2,0.2134,0.0878,0.2058,0.0002,0.0074
2444,3,0.2222,0.0828,0.2151,0.0002,0.0069
2444,4,0.2371,0.0641,0.2296,0.0002,0.0073
2444,6,0.2681,0.0496,0.2587,0.0002,0.0092
2444,8,0.3088,0.048,0.2971,0.0002,0.0115
2444,12,0.3839,0.0444,0.3762,0.0002,0.0075
3333,2,0.2082,0.0954,0.2022,0.0002,0.0058
3333,3,0.2215,0.089,0.2134,0.0002,0.0079
3333,4,0.2348,0.0709,0.2254,0.0002,0.0092
3333,6,0.2612,0.0569,0.2542,0.0002,0.0068
3333,8,0.3047,0.0558,0.2956,0.0002,0.0089
3333,12,0.3852,0.0495,0.375,0.0002,0.01
3334,2,0.2111,0.0924,0.2031,0.0002,0.0078
3334,3,0.2245,0.0892,0.2168,0.0002,0.0075
3334,4,0.2311,0.069,0.2259,0.0002,0.0049
3334,6,0.2606,0.0544,0.2549,0.0002,0.0054
3334,8,0.3028,0.0537,0.2967,0.0002,0.0058
3334,12,0.389,0.0494,0.3787,0.0002,0.0101
3344,2,0.2103,0.0922,0.2044,0.0002,0.0057
3344,3,0.2211,0.0863,0.2145,0.0002,0.0063
3344,4,0.2366,0.0701,0.2288,0.0002,0.0076
3344,6,0.2607,0.0492,0.2543,0.0002,0.0063
3344,8,0.3026,0.0503,0.2954,0.0002,0.007
3344,12,0.3837,0.0486,0.3766,0.0003,0.0068
3444,2,0.2156,0.0906,0.2063,0.0002,0.0091
3444,3,0.2221,0.0834,0.2145,0.0002,0.0074
3444,4,0.2352,0.0654,0.2283,0.0002,0.0067
3444,6,0.2621,0.048,0.2557,0.0002,0.0062
3444,8,0.3048,0.0486,0.2956,0.0002,0.009
3444,12,0.392,0.0472,0.3782,0.0002,0.0136
4444,2,0.218,0.091,0.2079,0.0002,0.0098
4444,3,0.2238,0.0844,0.2171,0.0002,0.0065
4444,4,0.2382,0.0685,0.2314,0.0002,0.0066
4444,6,0.2631,0.0469,0.2568,0.0002,0.0061
4444,8,0.3096,0.0475,0.2963,0.0002,0.0131
4444,12,0.3898,0.0459,0.3769,0.0002,0.0126
